customer_id,gender,age,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,number_of_dependents,number_of_referrals,transaction_date,transaction_amount,transaction_type,channel,churn,customer_lifetime_value,average_monthly_spending,charges_per_dependent,is_month_to_month,tenure_charges_interaction,log_total_charges
CUST000001,Male,35,29,107.07,3393.95,One year,Electronic check,Fiber optic,2,6,2023-11-21,151.54,Purchase,Web,0,3105.0299999999997,117.03275862068965,35.69,0,3105.0299999999997,8.130044312343845
CUST000002,Female,43,36,66.41,2370.33,One year,Electronic check,DSL,3,2,2023-11-17,92.31,Purchase,Web,0,2390.7599999999998,65.8425,16.6025,0,2390.7599999999998,7.77120625816036
CUST000003,Male,61,13,109.9,1526.43,Month-to-month,Mailed check,Fiber optic,4,2,2023-09-13,198.65,Purchase,Web,0,1428.7,117.4176923076923,21.98,1,1428.7,7.331341863481772
CUST000004,Male,51,32,106.58,3202.09,Month-to-month,Electronic check,Fiber optic,2,3,2023-11-02,120.2,Purchase,Phone,0,3410.56,100.0653125,35.526666666666664,1,3410.56,8.071871247871908
CUST000005,Male,27,71,114.21,7965.15,Month-to-month,Electronic check,Fiber optic,2,3,2023-10-05,181.34,Subscription,Mobile,0,8108.91,112.18521126760562,38.07,1,8108.91,8.982956593591924
CUST000006,Female,53,59,100.68,6177.15,Month-to-month,Mailed check,DSL,0,1,2023-02-28,186.7,Refund,Web,0,5940.120000000001,104.69745762711864,100.68,1,5940.120000000001,8.728774152885949
CUST000007,Male,31,28,90.21,2343.18,Month-to-month,Bank transfer (automatic),Fiber optic,1,2,2023-01-17,68.62,Purchase,Web,0,2525.8799999999997,83.68499999999999,45.105,1,2525.8799999999997,7.759690939557437
CUST000008,Male,48,66,82.26,5030.38,Month-to-month,Electronic check,Fiber optic,1,2,2023-11-04,153.51,Purchase,Web,0,5429.160000000001,76.21787878787879,41.13,1,5429.160000000001,8.523449579342381
CUST000009,Male,65,42,63.51,2917.91,Month-to-month,Electronic check,Fiber optic,4,4,2023-05-26,188.45,Purchase,Mobile,0,2667.42,69.47404761904761,12.702,1,2667.42,7.978965537901908
CUST000010,Female,32,45,114.61,5378.8,Month-to-month,Electronic check,Fiber optic,1,3,2023-07-07,35.28,Purchase,Web,0,5157.45,119.52888888888889,57.305,1,5157.45,8.590406477743644
CUST000011,Male,25,62,117.63,6623.66,Two year,Credit card (automatic),DSL,3,2,2023-12-14,183.95,Purchase,In-Store,0,7293.0599999999995,106.83322580645161,29.4075,0,7293.0599999999995,8.798554328782751
CUST000012,Male,31,57,55.55,3102.28,One year,Mailed check,Fiber optic,1,5,2023-12-10,60.58,Purchase,In-Store,1,3166.35,54.425964912280705,27.775,0,3166.35,8.040214895633628
CUST000013,Male,40,6,57.48,340.29,Month-to-month,Mailed check,Fiber optic,4,1,2023-11-17,90.64,Upgrade,Web,1,344.88,56.715,11.495999999999999,1,344.88,5.832732555747113
CUST000014,Male,74,28,73.71,2164.61,Two year,Credit card (automatic),DSL,1,7,2023-10-19,109.15,Purchase,Web,0,2063.8799999999997,77.3075,36.855,0,2063.8799999999997,7.680457355947354
CUST000015,Female,57,28,70.36,1871.92,One year,Electronic check,Fiber optic,3,5,2023-03-31,187.42,Purchase,Mobile,1,1970.08,66.85428571428572,17.59,0,1970.08,7.535253989305521
CUST000016,Male,38,44,119.5,4926.05,Month-to-month,Bank transfer (automatic),Fiber optic,0,5,2023-02-04,180.09,Upgrade,Web,0,5258.0,111.95568181818182,119.5,1,5258.0,8.502495710655653
CUST000017,Female,33,30,45.83,1259.65,Month-to-month,Mailed check,Fiber optic,4,7,2023-11-28,66.17,Purchase,Web,0,1374.8999999999999,41.98833333333334,9.166,1,1374.8999999999999,7.139382739944657
CUST000018,Female,62,62,31.63,1932.94,Month-to-month,Electronic check,DSL,0,6,2023-07-14,182.22,Purchase,Web,0,1961.06,31.176451612903225,31.63,1,1961.06,7.567314651747091
CUST000019,Female,35,62,74.45,4789.92,Month-to-month,Mailed check,Fiber optic,0,6,2023-08-16,131.51,Purchase,Web,1,4615.900000000001,77.2567741935484,74.45,1,4615.900000000001,8.47447773876834
CUST000020,Male,64,1,46.09,42.02,One year,Bank transfer (automatic),DSL,0,1,2023-05-13,185.39,Refund,Phone,1,46.09,42.02,46.09,0,46.09,3.761665123839584
CUST000021,Female,70,27,62.98,1841.67,Month-to-month,Mailed check,Fiber optic,2,5,2023-10-20,59.94,Refund,Mobile,1,1700.4599999999998,68.21000000000001,20.993333333333332,1,1700.4599999999998,7.518970885750264
CUST000022,Male,41,62,96.98,5943.44,Month-to-month,Credit card (automatic),DSL,2,2,2023-08-29,161.1,Purchase,Web,0,6012.76,95.86193548387097,32.32666666666667,1,6012.76,8.690211607884047
CUST000023,Female,43,3,94.88,269.83,Two year,Electronic check,Fiber optic,0,3,2023-07-24,26.39,Subscription,Web,1,284.64,89.94333333333333,94.88,0,284.64,5.601491317767735
CUST000024,Female,42,70,57.73,3712.86,One year,Bank transfer (automatic),No,4,1,2023-08-05,165.93,Purchase,Web,1,4041.1,53.04085714285714,11.546,0,4041.1,8.219827045994846
CUST000025,Female,62,27,78.83,1993.41,Month-to-month,Electronic check,Fiber optic,3,4,2023-09-10,185.45,Purchase,Web,1,2128.41,73.83,19.7075,1,2128.41,7.598103546236088
CUST000026,Female,58,9,75.79,741.4,Two year,Bank transfer (automatic),No,3,7,2023-06-25,103.94,Purchase,Phone,0,682.11,82.37777777777778,18.9475,0,682.11,6.609888181471991
CUST000027,Female,46,62,87.27,5560.37,Two year,Mailed check,DSL,1,5,2023-02-02,136.75,Upgrade,Web,0,5410.74,89.6833870967742,43.635,0,5410.74,8.623599759770123
CUST000028,Female,32,37,52.54,1950.47,Two year,Electronic check,Fiber optic,4,1,2023-07-22,110.47,Purchase,Mobile,0,1943.98,52.715405405405406,10.508,0,1943.98,7.576338213712345
CUST000029,Female,62,51,83.09,4370.74,Month-to-month,Electronic check,Fiber optic,2,0,2023-11-13,63.46,Purchase,In-Store,1,4237.59,85.70078431372549,27.69666666666667,1,4237.59,8.382916378177645
CUST000030,Female,18,44,118.1,5129.55,One year,Electronic check,Fiber optic,0,0,2023-03-15,139.22,Purchase,Web,0,5196.4,116.58068181818182,118.1,0,5196.4,8.542968144893601
CUST000031,Male,42,24,73.81,1852.94,Month-to-month,Electronic check,DSL,1,6,2023-11-01,50.64,Purchase,Web,0,1771.44,77.20583333333333,36.905,1,1771.44,7.525068383142578
CUST000032,Male,24,59,111.55,5986.11,One year,Electronic check,DSL,3,7,2023-01-29,46.7,Purchase,Web,0,6581.45,101.45949152542373,27.8875,0,6581.45,8.697364103898375
CUST000033,Female,26,32,69.1,2240.4,Two year,Bank transfer (automatic),DSL,2,3,2023-03-15,44.11,Purchase,Web,0,2211.2,70.0125,23.03333333333333,0,2211.2,7.714855949617927
CUST000034,Female,41,52,61.51,2980.15,One year,Mailed check,Fiber optic,2,2,2023-05-16,72.04,Purchase,Web,0,3198.52,57.31057692307692,20.503333333333334,0,3198.52,8.000064411097133
CUST000035,Female,18,62,88.06,5044.96,One year,Bank transfer (automatic),Fiber optic,0,3,2023-11-14,183.48,Purchase,Phone,0,5459.72,81.37032258064517,88.06,0,5459.72,8.526343202098637
CUST000036,Male,61,58,90.2,5066.16,One year,Credit card (automatic),Fiber optic,3,3,2023-03-26,23.28,Refund,Mobile,0,5231.6,87.34758620689655,22.55,0,5231.6,8.530535781847314
